sex;year;eduсation;place;salary;mark;been;plan;language;quality;career;meeting;country;culture;personal;valuable;performance
Мужской;2000;Высшее (студент);Город (региональный центр, не миллионник);от 60,001 до 70,000 рублей;Отлично;Нет;Да, планирую;5;7;6;1;3;4;2;Скорее нет, чем да;Улучшится
Женский;2000;Средняя школа (10, сейчас 11 классов);Город;от 100,001 до 150,000 рублей;Хорошо;Нет;Да, планирую;5;5;7;4;1;1;2;Скорее да, чем нет;Скорее улучшится
Женский;2000;Средняя школа (10, сейчас 11 классов);Город;от 40,001 до 50,000 рублей;Хорошо;Нет;Затрудняюсь ответить;5;2;6;4;6;6;7;Скорее да, чем нет;Не поменяется
Женский;2001;Высшее (студент);Село;от 100,001 до 150,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Да, 1 семестр;Нет, не планирую;1;2;3;5;3;3;3;Скорее нет, чем да;Скорее улучшится
Женский;2000;Высшее (студент);Город (региональный центр, не миллионник);от 25,001 до 30,000 рублей;Отлично;Нет;Затрудняюсь ответить;3;2;5;6;1;4;7;Да;Не поменяется
Мужской;1996;Высшее (окончен вуз);Город федерального значения;более 150,000;Хорошо;Нет;Я уже закончил вуз;6;6;5;7;7;6;6;Скорее да, чем нет;Скорее улучшится
Женский;1999;Высшее (студент);Город-миллионник;Затрудняюсь ответить;Хорошо;Нет;Затрудняюсь ответить;3;3;3;7;7;7;7;Да;Затрудняюсь ответить
Мужской;2000;Высшее (студент);Город-миллионник;более 150,000;Хорошо;Нет;Нет, не планирую;2;3;3;7;6;6;6;Да;Скорее ухудшится
Женский;2000;Высшее (студент);Город федерального значения;от 70,001 до 100,000 рублей;Отлично;Нет;Да, планирую;4;6;6;6;6;4;4;Скорее нет, чем да;Не поменяется
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Да, планирую;5;6;6;6;6;5;5;Скорее нет, чем да;Не поменяется
Женский;2000;ПТУ на базе неполной средней школы;Город;от 25,001 до 30,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;7;7;7;6;6;6;7;Скорее да, чем нет;Улучшится
Женский;2001;Высшее (студент);Город федерального значения;от 100,001 до 150,000 рублей;Хорошо;Нет;Нет, не планирую;6;6;6;4;5;4;4;Да;Улучшится
Женский;2000;Средняя школа (10, сейчас 11 классов);Город (региональный центр, не миллионник);от 60,001 до 70,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;3;3;4;1;1;1;1;Да;Улучшится
Мужской;1999;Высшее (студент);Город федерального значения;Затрудняюсь ответить;Хорошо;Нет;Нет, не планирую;3;2;1;2;2;1;1;Скорее да, чем нет;Скорее ухудшится
Мужской;2001;Высшее (студент);Город федерального значения;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;1;7;6;4;3;5;2;Скорее нет, чем да;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Да, планирую;5;6;7;7;7;5;7;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город (региональный центр, не миллионник);от 35,001 до 40,000 рублей;Хорошо;Нет;Затрудняюсь ответить;6;3;4;6;6;5;5;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;от 60,001 до 70,000 рублей;Отлично;Нет;Нет, не планирую;7;5;5;6;7;7;7;Скорее да, чем нет;Не поменяется
Женский;2000;Высшее (студент);Город федерального значения;от 50,001 до 60,000 рублей;Отлично;Нет;Да, планирую;3;3;3;3;3;3;2;Скорее да, чем нет;Скорее улучшится
Женский;1995;Высшее (студент);Город федерального значения;от 100,001 до 150,000 рублей;Удовлетворительно;Нет;Затрудняюсь ответить;7;6;7;7;7;7;7;Скорее нет, чем да;Не поменяется
Женский;2000;Средняя школа (10, сейчас 11 классов);Город федерального значения;Затрудняюсь ответить;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;7;7;7;7;7;7;7;Скорее да, чем нет;Затрудняюсь ответить
Женский;1999;Высшее (студент);Город;от 30,001 до 35,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Нет, не планирую;4;5;3;1;1;5;7;Скорее да, чем нет;Не поменяется
Женский;2000;Высшее (студент);Город;Затрудняюсь ответить;Хорошо;Нет;Затрудняюсь ответить;1;3;3;3;2;1;1;Скорее да, чем нет;Скорее улучшится
Женский;2000;Высшее (студент);Город;от 60,001 до 70,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;1;1;1;1;1;2;1;Затрудняюсь ответить;Скорее улучшится
Женский;2000;Высшее (студент);Город (региональный центр, не миллионник);от 35,001 до 40,000 рублей;Отлично;Нет;Да, планирую;1;4;4;1;1;1;4;Скорее да, чем нет;Затрудняюсь ответить
Женский;2000;Высшее (студент);Город;Затрудняюсь ответить;Отлично;Нет;Да, планирую;6;5;7;7;7;7;7;Скорее да, чем нет;Скорее улучшится
Женский;1999;Высшее (студент);Город;от 35,001 до 40,000 рублей;Удовлетворительно;Нет;Затрудняюсь ответить;5;6;6;5;5;5;4;Да;Не поменяется
Мужской;2000;Высшее (студент);Город (региональный центр, не миллионник);Затрудняюсь ответить;Отлично;Нет;Нет, не планирую;7;5;6;5;6;5;5;Скорее да, чем нет;Скорее улучшится
Женский;2000;Высшее (студент);Город;от 60,001 до 70,000 рублей;Хорошо;Нет;Затрудняюсь ответить;1;1;1;1;1;1;1;Да;Улучшится
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Да, планирую;2;1;2;2;3;2;2;Скорее да, чем нет;Скорее улучшится
Мужской;2002;Неполная средняя школа (7-8, сейчас 9 классов);Город;Затрудняюсь ответить;Удовлетворительно;Нет;Затрудняюсь ответить;3;7;7;1;4;2;3;Затрудняюсь ответить;Улучшится
Женский;2000;Высшее (студент);Город федерального значения;от 100,001 до 150,000 рублей;Отлично;Нет;Да, планирую;4;5;6;3;7;2;1;Да;Улучшится
Мужской;99;Высшее (студент);Город (региональный центр, не миллионник);Затрудняюсь ответить;Отлично;Нет;Затрудняюсь ответить;6;6;6;2;5;4;2;Затрудняюсь ответить;Не поменяется
Женский;2000;Высшее (студент);Город;от 40,001 до 50,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;6;3;3;4;4;4;5;Скорее да, чем нет;Улучшится
Женский;2001;Высшее (студент);Город (региональный центр, не миллионник);от 30,001 до 35,000 рублей;Отлично;Нет;Да, планирую;7;5;4;5;7;7;4;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город;от 60,001 до 70,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;3;5;5;5;4;3;5;Скорее да, чем нет;Скорее улучшится
Мужской;2000;Высшее (студент);Город-миллионник;Затрудняюсь ответить;Хорошо;Нет;Затрудняюсь ответить;7;7;6;7;7;4;5;Да;Затрудняюсь ответить
Женский;2002;ПТУ на базе неполной средней школы;Город-миллионник;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;5;6;6;4;5;3;5;Да;Не поменяется
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Отлично;Нет;Да, планирую;6;2;7;7;6;6;7;Затрудняюсь ответить;Не поменяется
Мужской;2000;Средняя школа (10, сейчас 11 классов);Город (региональный центр, не миллионник);от 100,001 до 150,000 рублей;Хорошо;Нет;Нет, не планирую;7;7;7;7;7;7;7;Да;Затрудняюсь ответить
Женский;2000;Высшее (студент);Город-миллионник;от 100,001 до 150,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;7;6;7;4;6;6;7;Затрудняюсь ответить;Затрудняюсь ответить
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;7;5;7;7;7;7;7;Да;Улучшится
Женский;2001;Высшее (студент);Город;от 70,001 до 100,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;2;4;3;2;2;2;3;Да;Затрудняюсь ответить
Женский;1999;Высшее (студент);Город-миллионник;от 100,001 до 150,000 рублей;Отлично;Нет;Да, планирую;2;2;2;3;4;4;1;Да;Затрудняюсь ответить
Женский;2001;Высшее (студент);Город;от 60,001 до 70,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;3;4;6;5;1;2;7;Да;Не поменяется
Женский;2000;Высшее (студент);Город (региональный центр, не миллионник);более 150,000;Отлично;Да, дольше  (больше 2 семестров или обакалавриат, магистратура и т.д.);Да, планирую;6;1;4;1;2;2;1;Скорее да, чем нет;Не поменяется
Женский;2000;Высшее (студент);Город-миллионник;Затрудняюсь ответить;Отлично;Нет;Да, планирую;4;7;7;3;4;5;3;Скорее да, чем нет;Улучшится
Мужской;2000;Высшее (студент);Город-миллионник;Затрудняюсь ответить;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;3;2;2;4;3;7;7;Скорее да, чем нет;Скорее улучшится
Мужской;2000;ПТУ на базе средней школы;Город;от 20,001 до 25,000 рублей;Удовлетворительно;Нет;Затрудняюсь ответить;7;5;7;7;7;7;7;Да;Скорее ухудшится
Женский;1999;Высшее (студент);Город-миллионник;от 70,001 до 100,000 рублей;Отлично;Нет;Затрудняюсь ответить;2;7;1;4;5;6;3;Скорее да, чем нет;Затрудняюсь ответить
Женский;1999;Высшее (студент);Город;Затрудняюсь ответить;Отлично;Нет;Да, планирую;7;4;5;6;7;7;7;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город;Затрудняюсь ответить;Хорошо;Нет;Затрудняюсь ответить;2;1;2;1;2;2;2;Да;Скорее улучшится
Женский;1999;Высшее (студент);Город;от 70,001 до 100,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;3;7;4;1;2;5;6;Скорее да, чем нет;Не поменяется
Женский;1997;Высшее (студент);Город;от 60,001 до 70,000 рублей;Отлично;Нет;Я уже закончил вуз;3;3;3;3;3;3;3;Да;Улучшится
Мужской;2000;Высшее (студент);Город федерального значения;от 70,001 до 100,000 рублей;Хорошо;Нет;Затрудняюсь ответить;3;1;7;2;4;6;5;Затрудняюсь ответить;Не поменяется
Женский;2000;Средняя школа (10, сейчас 11 классов);Город (региональный центр, не миллионник);от 40,001 до 50,000 рублей;Хорошо;Нет;Затрудняюсь ответить;7;6;6;7;7;5;7;Затрудняюсь ответить;Скорее улучшится
Женский;1999;Высшее (студент);Город;Затрудняюсь ответить;Отлично;Нет;Да, планирую;2;2;2;5;6;6;3;Скорее да, чем нет;Затрудняюсь ответить
Женский;1999;Высшее (студент);Город;Затрудняюсь ответить;Хорошо;Нет;Нет, не планирую;7;6;7;5;5;5;6;Скорее да, чем нет;Скорее улучшится
Мужской;1996;Высшее (окончен вуз);Город;более 150,000;Хорошо;Нет;Я уже закончил вуз;3;3;3;3;3;3;3;Да;Улучшится
Женский;1999;Высшее (студент);Город федерального значения;Затрудняюсь ответить;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;4;7;7;3;4;4;2;Скорее нет, чем да;Улучшится
Женский;2000;Высшее (студент);Город (региональный центр, не миллионник);от 25,001 до 30,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;2;1;3;4;5;6;7;Да;Скорее улучшится
Женский;1998;Высшее (студент);Город федерального значения;от 70,001 до 100,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;4;5;5;5;5;5;5;Да;Не поменяется
Женский;1998;Высшее (студент);Город;Затрудняюсь ответить;Хорошо;Нет;Нет, не планирую;6;4;4;4;4;4;4;Скорее да, чем нет;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;от 60,001 до 70,000 рублей;Хорошо;Нет;Да, планирую;7;5;6;4;5;7;6;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город-миллионник;Затрудняюсь ответить;Отлично;Нет;Да, планирую;4;6;7;3;2;1;5;Скорее да, чем нет;Не поменяется
Женский;2000;Высшее (студент);Город;от 100,001 до 150,000 рублей;Хорошо;Нет;Да, планирую;1;3;4;1;2;1;2;Да;Улучшится
Женский;2000;Высшее (студент);Город;от 70,001 до 100,000 рублей;Отлично;Нет;Да, планирую;5;7;6;7;7;7;6;Скорее да, чем нет;Скорее улучшится
Женский;2000;Высшее (студент);Город;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;6;3;3;3;2;1;2;Скорее да, чем нет;Не поменяется
Мужской;1998;Высшее (студент);Город федерального значения;более 150,000;Удовлетворительно;Нет;Нет, не планирую;7;6;4;3;1;5;2;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;Затрудняюсь ответить;Хорошо;Нет;Нет, не планирую;7;7;7;4;7;4;4;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;Затрудняюсь ответить;Хорошо;Нет;Нет, не планирую;7;7;7;4;7;4;4;Да;Скорее улучшится
Мужской;2001;Высшее (студент);Город федерального значения;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;7;7;7;7;7;7;7;Да;Не поменяется
Мужской;1997;Высшее (студент);Поселок городского типа;от 50,001 до 60,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Затрудняюсь ответить;3;2;3;2;3;3;3;Да;Скорее улучшится
Мужской;2000;Средняя школа (10, сейчас 11 классов);Город;более 150,000;Хорошо;Нет;Нет, не планирую;6;6;7;6;7;5;7;Да;Скорее ухудшится
Женский;2000;Высшее (студент);Город-миллионник;от 100,001 до 150,000 рублей;Отлично;Нет;Да, планирую;2;2;2;5;4;6;4;Да;Скорее улучшится
Женский;2001;Высшее (студент);Город;Затрудняюсь ответить;Хорошо;Нет;Затрудняюсь ответить;7;7;5;5;7;5;7;Скорее да, чем нет;Затрудняюсь ответить
Женский;2000;Высшее (студент);Город-миллионник;от 25,001 до 30,000 рублей;Удовлетворительно;Нет;Затрудняюсь ответить;2;2;2;2;2;2;2;Скорее да, чем нет;Улучшится
Женский;2000;Высшее (студент);Административный центр;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;7;7;7;7;7;7;7;Скорее да, чем нет;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Нет, не планирую;7;4;5;5;7;7;5;Да;Затрудняюсь ответить
Женский;2000;Высшее (студент);Город-миллионник;более 150,000;Хорошо;Нет;Да, планирую;7;7;7;7;7;7;7;Скорее да, чем нет;Улучшится
Женский;2000;Неоконченное высшее (отчислился);Город-миллионник;от 100,001 до 150,000 рублей;Удовлетворительно;Нет;Да, планирую;6;6;6;6;6;7;7;Да;Ухудшится
